Date,Open,High,Low,Close,Volume,Adj Close
2000-02-01,42.376244,42.376244,42.376244,42.376244,0.0,42.376244
2000-02-02,43.306156,43.306156,43.306156,43.306156,0.0,43.306156
2000-02-03,44.232540,44.232540,44.232540,44.232540,0.0,44.232540
2000-02-04,45.151882,45.151882,45.151882,45.151882,0.0,45.151882
2000-02-07,46.060693,46.060693,46.060693,46.060693,0.0,46.060693
2000-02-08,46.955526,46.955526,46.955526,46.955526,0.0,46.955526
2000-02-09,47.832986,47.832986,47.832986,47.832986,0.0,47.832986
2000-02-10,48.689744,48.689744,48.689744,48.689744,0.0,48.689744
2000-02-11,49.522550,49.522550,49.522550,49.522550,0.0,49.522550
2000-02-14,50.328244,50.328244,50.328244,50.328244,0.0,50.328244
2000-02-15,51.103770,51.103770,51.103770,51.103770,0.0,51.103770
2000-02-16,51.846185,51.846185,51.846185,51.846185,0.0,51.846185
2000-02-17,52.552672,52.552672,52.552672,52.552672,0.0,52.552672
2000-02-18,53.220552,53.220552,53.220552,53.220552,0.0,53.220552
2000-02-22,53.847290,53.847290,53.847290,53.847290,0.0,53.847290
2000-02-23,54.430510,54.430510,54.430510,54.430510,0.0,54.430510
2000-02-24,54.967997,54.967997,54.967997,54.967997,0.0,54.967997
2000-02-25,55.457714,55.457714,55.457714,55.457714,0.0,55.457714
2000-02-28,55.897801,55.897801,55.897801,55.897801,0.0,55.897801
2000-02-29,56.286591,56.286591,56.286591,56.286591,0.0,56.286591
2000-03-01,56.622606,56.622606,56.622606,56.622606,0.0,56.622606
2000-03-02,56.904574,56.904574,56.904574,56.904574,0.0,56.904574
2000-03-03,57.131423,57.131423,57.131423,57.131423,0.0,57.131423
2000-03-06,57.302294,57.302294,57.302294,57.302294,0.0,57.302294
2000-03-07,57.416539,57.416539,57.416539,57.416539,0.0,57.416539
2000-03-08,57.473722,57.473722,57.473722,57.473722,0.0,57.473722
2000-03-09,57.473629,57.473629,57.473629,57.473629,0.0,57.473629
2000-03-10,57.416259,57.416259,57.416259,57.416259,0.0,57.416259
2000-03-13,57.301829,57.301829,57.301829,57.301829,0.0,57.301829
2000-03-14,57.130775,57.130775,57.130775,57.130775,0.0,57.130775
2000-03-15,56.903744,56.903744,56.903744,56.903744,0.0,56.903744
2000-03-16,56.621598,56.621598,56.621598,56.621598,0.0,56.621598
2000-03-17,56.285408,56.285408,56.285408,56.285408,0.0,56.285408
2000-03-20,55.896450,55.896450,55.896450,55.896450,0.0,55.896450
2000-03-21,55.456197,55.456197,55.456197,55.456197,0.0,55.456197
2000-03-22,54.966322,54.966322,54.966322,54.966322,0.0,54.966322
2000-03-23,54.428682,54.428682,54.428682,54.428682,0.0,54.428682
2000-03-24,53.845317,53.845317,53.845317,53.845317,0.0,53.845317
2000-03-27,53.218441,53.218441,53.218441,53.218441,0.0,53.218441
2000-03-28,52.550431,52.550431,52.550431,52.550431,0.0,52.550431
2000-03-29,51.843822,51.843822,51.843822,51.843822,0.0,51.843822
2000-03-30,51.101295,51.101295,51.101295,51.101295,0.0,51.101295
2000-03-31,50.325666,50.325666,50.325666,50.325666,0.0,50.325666
2000-04-03,49.519878,49.519878,49.519878,49.519878,0.0,49.519878
2000-04-04,48.686989,48.686989,48.686989,48.686989,0.0,48.686989
2000-04-05,47.830158,47.830158,47.830158,47.830158,0.0,47.830158
2000-04-06,46.952636,46.952636,46.952636,46.952636,0.0,46.952636
2000-04-07,46.057752,46.057752,46.057752,46.057752,0.0,46.057752
2000-04-10,45.148901,45.148901,45.148901,45.148901,0.0,45.148901
2000-04-11,44.229530,44.229530,44.229530,44.229530,0.0,44.229530
2000-04-12,43.303129,43.303129,43.303129,43.303129,0.0,43.303129
2000-04-13,42.373211,42.373211,42.373211,42.373211,0.0,42.373211
2000-04-14,41.443305,41.443305,41.443305,41.443305,0.0,41.443305
2000-04-17,40.516938,40.516938,40.516938,40.516938,0.0,40.516938
2000-04-18,39.597625,39.597625,39.597625,39.597625,0.0,39.597625
2000-04-19,38.688854,38.688854,38.688854,38.688854,0.0,38.688854
2000-04-20,37.794072,37.794072,37.794072,37.794072,0.0,37.794072
2000-04-24,36.916674,36.916674,36.916674,36.916674,0.0,36.916674
2000-04-25,36.059988,36.059988,36.059988,36.059988,0.0,36.059988
2000-04-26,35.227266,35.227266,35.227266,35.227266,0.0,35.227266
2000-04-27,34.421665,34.421665,34.421665,34.421665,0.0,34.421665
2000-04-28,33.646243,33.646243,33.646243,33.646243,0.0,33.646243
2000-05-01,32.903941,32.903941,32.903941,32.903941,0.0,32.903941
2000-05-02,32.197575,32.197575,32.197575,32.197575,0.0,32.197575
2000-05-03,31.529825,31.529825,31.529825,31.529825,0.0,31.529825
2000-05-04,30.903225,30.903225,30.903225,30.903225,0.0,30.903225
2000-05-05,30.320151,30.320151,30.320151,30.320151,0.0,30.320151
2000-05-08,29.782816,29.782816,29.782816,29.782816,0.0,29.782816
2000-05-09,29.293258,29.293258,29.293258,29.293258,0.0,29.293258
2000-05-10,28.853335,28.853335,28.853335,28.853335,0.0,28.853335
2000-05-11,28.464716,28.464716,28.464716,28.464716,0.0,28.464716
2000-05-12,28.128874,28.128874,28.128874,28.128874,0.0,28.128874
2000-05-15,27.847084,27.847084,27.847084,27.847084,0.0,27.847084
2000-05-16,27.620416,27.620416,27.620416,27.620416,0.0,27.620416
2000-05-17,27.449729,27.449729,27.449729,27.449729,0.0,27.449729
2000-05-18,27.335670,27.335670,27.335670,27.335670,0.0,27.335670
2000-05-19,27.278673,27.278673,27.278673,27.278673,0.0,27.278673
2000-05-22,27.278953,27.278953,27.278953,27.278953,0.0,27.278953
2000-05-23,27.336509,27.336509,27.336509,27.336509,0.0,27.336509
2000-05-24,27.451124,27.451124,27.451124,27.451124,0.0,27.451124
2000-05-25,27.622362,27.622362,27.622362,27.622362,0.0,27.622362
2000-05-26,27.849574,27.849574,27.849574,27.849574,0.0,27.849574
2000-05-30,28.131898,28.131898,28.131898,28.131898,0.0,28.131898
2000-05-31,28.468262,28.468262,28.468262,28.468262,0.0,28.468262
2000-06-01,28.857391,28.857391,28.857391,28.857391,0.0,28.857391
2000-06-02,29.297807,29.297807,29.297807,29.297807,0.0,29.297807
2000-06-05,29.787841,29.787841,29.787841,29.787841,0.0,29.787841
2000-06-06,30.325634,30.325634,30.325634,30.325634,0.0,30.325634
2000-06-07,30.909144,30.909144,30.909144,30.909144,0.0,30.909144
2000-06-08,31.536159,31.536159,31.536159,31.536159,0.0,31.536159
2000-06-09,32.204298,32.204298,32.204298,32.204298,0.0,32.204298
2000-06-12,32.911029,32.911029,32.911029,32.911029,0.0,32.911029
2000-06-13,33.653669,33.653669,33.653669,33.653669,0.0,33.653669
2000-06-14,34.429401,34.429401,34.429401,34.429401,0.0,34.429401
2000-06-15,35.235281,35.235281,35.235281,35.235281,0.0,35.235281
2000-06-16,36.068254,36.068254,36.068254,36.068254,0.0,36.068254
2000-06-19,36.925158,36.925158,36.925158,36.925158,0.0,36.925158
2000-06-20,37.802742,37.802742,37.802742,37.802742,0.0,37.802742
2000-06-21,38.697677,38.697677,38.697677,38.697677,0.0,38.697677
2000-06-22,39.606568,39.606568,39.606568,39.606568,0.0,39.606568
2000-06-23,40.525967,40.525967,40.525967,40.525967,0.0,40.525967
2000-06-26,41.452386,41.452386,41.452386,41.452386,0.0,41.452386
2000-06-27,42.382309,42.382309,42.382309,42.382309,0.0,42.382309
