Date,Open,High,Low,Close,Volume,Adj Close
2000-02-01,430.839714,430.839714,430.839714,430.839714,0.0,430.839714
2000-02-02,431.240799,431.240799,431.240799,431.240799,0.0,431.240799
2000-02-03,431.636847,431.636847,431.636847,431.636847,0.0,431.636847
2000-02-04,432.022888,432.022888,432.022888,432.022888,0.0,432.022888
2000-02-07,432.394075,432.394075,432.394075,432.394075,0.0,432.394075
2000-02-08,432.745747,432.745747,432.745747,432.745747,0.0,432.745747
2000-02-09,433.073490,433.073490,433.073490,433.073490,0.0,433.073490
2000-02-10,433.373188,433.373188,433.373188,433.373188,0.0,433.373188
2000-02-11,433.641079,433.641079,433.641079,433.641079,0.0,433.641079
2000-02-14,433.873800,433.873800,433.873800,433.873800,0.0,433.873800
2000-02-15,434.068429,434.068429,434.068429,434.068429,0.0,434.068429
2000-02-16,434.222522,434.222522,434.222522,434.222522,0.0,434.222522
2000-02-17,434.334146,434.334146,434.334146,434.334146,0.0,434.334146
2000-02-18,434.401897,434.401897,434.401897,434.401897,0.0,434.401897
2000-02-22,434.424927,434.424927,434.424927,434.424927,0.0,434.424927
2000-02-23,434.402946,434.402946,434.402946,434.402946,0.0,434.402946
2000-02-24,434.336229,434.336229,434.336229,434.336229,0.0,434.336229
2000-02-25,434.225615,434.225615,434.225615,434.225615,0.0,434.225615
2000-02-28,434.072491,434.072491,434.072491,434.072491,0.0,434.072491
2000-02-29,433.878782,433.878782,433.878782,433.878782,0.0,433.878782
2000-03-01,433.646917,433.646917,433.646917,433.646917,0.0,433.646917
2000-03-02,433.379810,433.379810,433.379810,433.379810,0.0,433.379810
2000-03-03,433.080812,433.080812,433.080812,433.080812,0.0,433.080812
2000-03-06,432.753677,432.753677,432.753677,432.753677,0.0,432.753677
2000-03-07,432.402514,432.402514,432.402514,432.402514,0.0,432.402514
2000-03-08,432.031730,432.031730,432.031730,432.031730,0.0,432.031730
2000-03-09,431.645981,431.645981,431.645981,431.645981,0.0,431.645981
2000-03-10,431.250109,431.250109,431.250109,431.250109,0.0,431.250109
2000-03-13,430.849085,430.849085,430.849085,430.849085,0.0,430.849085
2000-03-14,430.447943,430.447943,430.447943,430.447943,0.0,430.447943
2000-03-15,430.051720,430.051720,430.051720,430.051720,0.0,430.051720
